id	type	name	cat	price	delivery	mall	image
NS5640980426	ITEM	오뚜기 진라면 매운맛 120G	식품>가공식품>라면>봉지라면	340	2500	카리부	https://shopping-phinf.pstatic.net/main_5640980/5640980426.20150128150836.jpg?type=f300
NS10086034421	MALL	진라면 매운맛40개/진라면/라면/신라면/열라면/스낵면	식품>가공식품>라면>봉지라면	18000	2500	11번가	https://shopping-phinf.pstatic.net/main_1008603/10086034421.1.jpg
NS10086078656	MALL	진라면 매운맛 5개/진라면/라면/신라면/열라면/스낵면	식품>가공식품>라면>봉지라면	2780	2500	11번가	https://shopping-phinf.pstatic.net/main_1008607/10086078656.jpg
NS10090024244	MALL	진라면(매운맛)120gx5/오뚜기	식품>가공식품>라면>봉지라면	2540	2500	11번가	https://shopping-phinf.pstatic.net/main_1009002/10090024244.1.jpg
NS10122772959	MALL	오뚜기 진라면 플러스 매운맛/순한맛 120G X 30개/ 코스트코	식품>가공식품>라면>봉지라면	12740	2500	11번가	https://shopping-phinf.pstatic.net/main_1012277/10122772959.4.jpg
NS10145376909	MALL	오뚜기 진라면 매운맛 (120G)	식품>가공식품>라면>봉지라면	690	2500	롯데슈퍼	https://shopping-phinf.pstatic.net/main_1014537/10145376909.jpg
NS10157925218	MALL	오뚜기 진라면 매운맛 120gx20입 1박스 봉지라면	식품>가공식품>라면>봉지라면	12980	0	코스트	https://shopping-phinf.pstatic.net/main_1015792/10157925218.1.jpg
NS10161742787	MALL	오뚜기진라면매운맛 120gx20입 1박스 봉지라면	식품>가공식품>라면>봉지라면	11690	0	11번가	https://shopping-phinf.pstatic.net/main_1016174/10161742787.jpg
NS10171091052	MALL	[다이소몰(장보고식자재마트)] 진라면(매운맛)120gx5/오뚜기	식품>가공식품>라면>봉지라면	2820	2500	보리보리	https://shopping-phinf.pstatic.net/main_1017109/10171091052.jpg
NS10174479261	MALL	오뚜기 진라면매운맛(멀티팩)120gX40개입(1박스)	식품>가공식품>라면>봉지라면	32280	2500	11번가	https://shopping-phinf.pstatic.net/main_1017447/10174479261.jpg
NS10174495893	MALL	오뚜기 오뚜기 진라면plus매운맛 120gx30개/봉지라면	식품>가공식품>라면>봉지라면	16900	2500	옥션	https://shopping-phinf.pstatic.net/main_1017449/10174495893.1.jpg
NS10174520148	MALL	오뚜기 진라면plus매운맛 120gx30개/봉지라면	식품>가공식품>라면>봉지라면	16900	2500	G마켓	https://shopping-phinf.pstatic.net/main_1017452/10174520148.1.jpg
NS10174620062	MALL	오뚜기 진라면plus매운맛 120gx30개/봉지라면	식품>가공식품>라면>봉지라면	16900	2500	11번가	https://shopping-phinf.pstatic.net/main_1017462/10174620062.1.jpg
NS10201884607	MALL	농심 농심 새우탕 컵 67g x 30개	식품>가공식품>라면>봉지라면	29400	2500	G마켓	https://shopping-phinf.pstatic.net/main_1020188/10201884607.1.jpg
