id	type	name	cat	price	delivery	mall	image
NS6359445024	ITEM	오뚜기 진라면 매운맛 110g	식품>가공식품>라면>컵라면	510		멸치쇼핑	https://shopping-phinf.pstatic.net/main_6359445/6359445024.20120522112710.jpg?type=f300
NS10336028102	MALL	진 라면 매운맛용기 110gX12 개입 1박스	식품>가공식품>라면>컵라면	12220	2500	베스트셀링	https://shopping-phinf.pstatic.net/main_1033602/10336028102.1.jpg
NS10389408722	MALL	[오뚜기] 진라면 종이용기 110gX12개	식품>가공식품>라면>컵라면	11400	0	다이소몰	https://shopping-phinf.pstatic.net/main_1038940/10389408722.jpg
NS10389610184	MALL	진라면(컵)110g/오뚜기	식품>가공식품>라면>컵라면	980	2500	다이소몰	https://shopping-phinf.pstatic.net/main_1038961/10389610184.jpg
NS10403681936	MALL	진라면(110gX12개 매운맛 오뚜기)	식품>가공식품>라면>컵라면	11970	2500	문구방	https://shopping-phinf.pstatic.net/main_1040368/10403681936.jpg
NS10452616762	MALL	[오뚜기] 진라면 매운맛 큰컵 12입(110g x 12개)	식품>가공식품>라면>컵라면	11060	0	11번가	https://shopping-phinf.pstatic.net/main_1045261/10452616762.1.jpg
NS10466970050	MALL	|컵라면|오뚜기 진라면 큰컵x12개 믿을 수 있는 정품 정량 라면 사발면 컵라면 라면도매 진라면		17460	0	우주쇼핑	
NS10466974050	MALL	|컵라면|오뚜기 진라면 큰컵x12개 믿을 수 있는 정품 정량 라면 사발면 컵라면 라면도매 진라면	식품>가공식품>라면>컵라면	14550	2800	이지쇼핑몰	https://shopping-phinf.pstatic.net/main_1046697/10466974050.jpg
NS10474499125	MALL	소공자 오뚜기 진라면 매운맛 큰컵 110g x 3개	식품>가공식품>라면>컵라면	3400	2500	문구방	https://shopping-phinf.pstatic.net/main_1047449/10474499125.jpg
NS10516996018	MALL	소공자 오뚜기 진라면 매운맛 큰컵 110g x 3개	식품>가공식품>라면>컵라면	3440	2500	상상노트	https://shopping-phinf.pstatic.net/main_1051699/10516996018.jpg
NS10525817908	MALL	오뚜기 진라면용기 (매운맛) 110g (1개입)	식품>가공식품>라면>컵라면	690	2500	베스트몰OK	https://shopping-phinf.pstatic.net/main_1052581/10525817908.3.jpg
NS10529936631	MALL	오뚜기 오뚜기 진라면 매운맛 큰용기 110g 컵라면	식품>가공식품>라면>컵라면	560	2500	G마켓	https://shopping-phinf.pstatic.net/main_1052993/10529936631.jpg
NS10529995044	MALL	오뚜기 오뚜기 진라면 매운맛 큰용기 110g 컵라면	식품>가공식품>라면>컵라면	560	2500	옥션	https://shopping-phinf.pstatic.net/main_1052999/10529995044.jpg
NS10547142699	MALL	[오뚜기] 003_B48_오뚜기 진라면 매운맛 큰컵 110g	식품>가공식품>라면>컵라면	820	2500	위메프	https://shopping-phinf.pstatic.net/main_1054714/10547142699.jpg
NS10569647816	MALL	오뚜기 진라면 110gx12컵(매운맛)	식품>가공식품>라면>컵라면	8500	2500	낙타마트	https://shopping-phinf.pstatic.net/main_1056964/10569647816.1.jpg
NS10576704728	MALL	진라면 용기(매) 110G	식품>가공식품>라면>컵라면	792	3000	SSG닷컴	https://shopping-phinf.pstatic.net/main_1057670/10576704728.jpg
NS10576736402	MALL	진라면 용기(매) 110G	식품>가공식품>라면>컵라면	784	3000	이마트몰	https://shopping-phinf.pstatic.net/main_1057673/10576736402.jpg
NS10578253335	MALL	[오뚜기] 083_B48_오뚜기 진라면 매운맛 큰컵 110g	식품>가공식품>라면>컵라면	900	2500	위메프	https://shopping-phinf.pstatic.net/main_1057825/10578253335.jpg
NS10578826321	MALL	[당일발송]컵)오뚜기진라면매운맛큰컵110g 1개 - ★인기 컵라면 총집합★	식품>가공식품>라면>컵라면	790	2500	티몬	https://shopping-phinf.pstatic.net/main_1057882/10578826321.jpg
NS10612417329	MALL	오뚜기 오뚜기 진라면 매운맛 큰용기(110g x 12개입)1box	식품>가공식품>라면>컵라면	9710	2500	G마켓	https://shopping-phinf.pstatic.net/main_1061241/10612417329.jpg
NS10613020592	MALL	오뚜기 오뚜기 진라면 매운맛 큰용기(110g x 12개입)1box	식품>가공식품>라면>컵라면	10310	2500	옥션	https://shopping-phinf.pstatic.net/main_1061302/10613020592.jpg
