id	type	name	cat	price	delivery	mall	image
NS8583124560	ITEM	오뚜기 진라면 순한맛 110g	식품>가공식품>라면>컵라면	570		한아름쿡마트	https://shopping-phinf.pstatic.net/main_8583124/8583124560.20150622122343.jpg?type=f300
NS11545954062	MALL	[오뚜기] 15_진라면 순한맛(110g) 1개	식품>가공식품>라면>컵라면	790	2500	위메프	https://shopping-phinf.pstatic.net/main_1154595/11545954062.jpg
NS11968765631	MALL	진라면 진라면 순한맛 용기 110g 12개	식품>가공식품>라면>컵라면	8580	3000	G마켓	https://shopping-phinf.pstatic.net/main_1196876/11968765631.jpg
NS12219778045	MALL	[오뚜기] 02.진라면 순한맛 큰사발 12개	식품>가공식품>라면>컵라면	9500	0	위메프	https://shopping-phinf.pstatic.net/main_1221977/12219778045.jpg
NS12663649226	MALL	[오뚜기] 01_진라면 순한맛 큰사발 12개	식품>가공식품>라면>컵라면	8900	0	위메프	https://shopping-phinf.pstatic.net/main_1266364/12663649226.jpg
NS12666173714	MALL	[당일발송]오뚜기 진라면 순한맛 큰컵 110g*3개 - [슈퍼마트]오뚜기 Best 모음전♥	식품>가공식품>라면>컵라면	1910	3000	티몬	https://shopping-phinf.pstatic.net/main_1266617/12666173714.jpg
NS12673052080	MALL	오뚜기 진라면 순한맛 종이용기 110G (12입/box)	식품>가공식품>라면>컵라면	8400	2500	오뚜기몰	https://shopping-phinf.pstatic.net/main_1267305/12673052080.jpg
NS12825817118	MALL	오뚜기 진라면용기 (순한맛) 110g (1개입)	식품>가공식품>라면>컵라면	680	2500	베스트몰OK	https://shopping-phinf.pstatic.net/main_1282581/12825817118.jpg
NS12900987043	MALL	오뚜기 진라면 순한맛 큰사발 12개 110g - [무료배송] 오뚜기 큰사발 27종	식품>가공식품>라면>컵라면	8010	0	티몬	https://shopping-phinf.pstatic.net/main_1290098/12900987043.jpg
NS12907133657	MALL	[오뚜기] 02.오뚜기 진라면 순한맛 큰사발 12개	식품>가공식품>라면>컵라면	8900	0	위메프	https://shopping-phinf.pstatic.net/main_1290713/12907133657.jpg
NS12911228395	MALL	진라면 진라면 순한맛 용기 110g	식품>가공식품>라면>컵라면	670	3000	G마켓	https://shopping-phinf.pstatic.net/main_1291122/12911228395.jpg
NS12994181262	MALL	[오뚜기] 03. 오뚜기 진라면 110g 순한맛 용기면 12개	식품>가공식품>라면>컵라면	10500	0	위메프	https://shopping-phinf.pstatic.net/main_1299418/12994181262.jpg
NS13095109786	MALL	오뚜기 진라면 순한맛 큰사발 12개 110g - [무료배송]전자렌지용 큰사발 12개	식품>가공식품>라면>컵라면	8640	0	티몬	https://shopping-phinf.pstatic.net/main_1309510/13095109786.11.jpg
NS13099895690	MALL	[오뚜기] 02.오뚜기 진라면 순한맛 큰사발 12개	식품>가공식품>라면>컵라면	9900	0	위메프	https://shopping-phinf.pstatic.net/main_1309989/13099895690.jpg
NS13223541931	MALL	[오뚜기] 001. 오뚜기 진라면 순한맛 용기면 12개	식품>가공식품>라면>컵라면	10500	0	위메프	https://shopping-phinf.pstatic.net/main_1322354/13223541931.jpg
NS13296796208	MALL	오뚜기)진라면 컵라면110g 순한맛X12개 1box	식품>가공식품>라면>컵라면	10600	0	신송식자재마트	https://shopping-phinf.pstatic.net/main_1329679/13296796208.jpg
NS13489255961	MALL	[당일발송]오뚜기 진라면 순한맛 용기면 12개 110g - 인기컵라면 91종 모음	식품>가공식품>라면>컵라면	10240	0	티몬	https://shopping-phinf.pstatic.net/main_1348925/13489255961.jpg
NS13495494851	MALL	오뚜기 진라면 순한맛 큰컵 110g	식품>가공식품>라면>컵라면	650	2500	타임세일1	https://shopping-phinf.pstatic.net/main_1349549/13495494851.jpg
NS13498085460	MALL	오뚜기 진라면 순한맛 큰컵 110gx12개	식품>가공식품>라면>컵라면	10900	0	타임세일1	https://shopping-phinf.pstatic.net/main_1349808/13498085460.1.jpg
NS13625884845	MALL	[오뚜기] 03_ (용기)진라면 순한맛 110g 12개	식품>가공식품>라면>컵라면	9900	0	위메프	https://shopping-phinf.pstatic.net/main_1362588/13625884845.jpg
NS13699537654	MALL	[오뚜기] 02_진라면 순한맛 큰컵 110g X 1개	식품>가공식품>라면>컵라면	800	2500	위메프	https://shopping-phinf.pstatic.net/main_1369953/13699537654.jpg
NS13873311359	MALL	[오뚜기] 진라면 순한맛 용기 110g	식품>가공식품>라면>컵라면	680	2500	위메프	https://shopping-phinf.pstatic.net/main_1387331/13873311359.jpg
NS14169827280	MALL	오뚜기진라면순한맛큰컵 110g 1개 - [오뚜기] 인기 컵라면/컵밥 모음전★	식품>가공식품>라면>컵라면	770	2500	티몬	https://shopping-phinf.pstatic.net/main_1416982/14169827280.3.jpg
NS14523994540	MALL	H)오뚜기_진라면순한맛큰컵_110G*6입	식품>가공식품>라면>컵라면	3800	3000	홈플러스	https://shopping-phinf.pstatic.net/main_1452399/14523994540.jpg
NS14560785311	MALL	오뚜기진라면순한맛큰컵 110g 1개 - ★파격할인 263종★마음 껏 골라담으세요!라면 190원~컵라면 290원~	식품>가공식품>라면>컵라면	790	2500	티몬	https://shopping-phinf.pstatic.net/main_1456078/14560785311.jpg
NS14940216810	MALL	오뚜기진라면 순한맛 큰컵 12입 - THE WAR!!!★더우니까 진라면 20봉 8,900원外 특가전	식품>가공식품>라면>컵라면	8010	0	티몬	https://shopping-phinf.pstatic.net/main_1494021/14940216810.jpg
NS6772546050	MALL	오뚜기 진라면순한맛110g 12개 큰컵 컵라면 캠핑 야식	식품>가공식품>라면>컵라면	12000	0	디라이스	https://shopping-phinf.pstatic.net/main_6772546/6772546050.3.jpg
NS80043788352	MALL	오뚜기 진라면 순한맛 110g 큰컵	식품>가공식품>라면>컵라면	1660	2500	한아름쿡마트	https://shopping-phinf.pstatic.net/main_8004378/80043788352.jpg
NS80053878692	MALL	오뚜기 진라면 순한맛 큰컵 용기 110g x12입	식품>가공식품>라면>컵라면	10300	0	도매퍼스트	https://shopping-phinf.pstatic.net/main_8005387/80053878692.jpg
NS80079608932	MALL	오뚜기 진라면 순한맛 큰컵 용기 110g x12입	식품>가공식품>라면>컵라면	9900	0	코람몰	https://shopping-phinf.pstatic.net/main_8007960/80079608932.jpg
