id	type	name	cat	price	delivery	mall	image
NS5716182795	ITEM	오뚜기 진라면컵 순한맛 65g _ 컵라면/즉석/간편/사발면/용기	식품>가공식품>라면>컵라면	230	2500	위메프	https://shopping-phinf.pstatic.net/main_5716182/5716182795.20180329182156.jpg?type=f300
NS10444203451	MALL	오뚜기 진라면 순한맛 미니 컵라면 65g	식품>가공식품>라면>컵라면	510	2500	11번가	https://shopping-phinf.pstatic.net/main_1044420/10444203451.jpg
NS10452608280	MALL	[오뚜기] 진라면 순한맛 미니컵 15입(65g x 15개)	식품>가공식품>라면>컵라면	10950	0	11번가	https://shopping-phinf.pstatic.net/main_1045260/10452608280.jpg
NS10508590786	MALL	[오뚜기] 01_오뚜기 진라면종이컵(순) 6입X2개 총12개입	식품>가공식품>라면>컵라면	8900	0	위메프	https://shopping-phinf.pstatic.net/main_1050859/10508590786.jpg
NS10513652246	MALL	[오뚜기] 01_오뚜기 진라면종이컵(순) 6입X3개 총18개입	식품>가공식품>라면>컵라면	11900	0	위메프	https://shopping-phinf.pstatic.net/main_1051365/10513652246.jpg
NS10547142700	MALL	[오뚜기] 002_B50_오뚜기 진라면 순한맛 소컵 65g	식품>가공식품>라면>컵라면	550	2500	위메프	https://shopping-phinf.pstatic.net/main_1054714/10547142700.jpg
NS10569648429	MALL	진라면 cup 매운맛.순한맛 65gx15개입	식품>가공식품>라면>컵라면	8300	2500	낙타마트	https://shopping-phinf.pstatic.net/main_1056964/10569648429.1.jpg
NS10578253337	MALL	[오뚜기] 082_B50_오뚜기 진라면 순한맛 소컵 65g	식품>가공식품>라면>컵라면	590	2500	위메프	https://shopping-phinf.pstatic.net/main_1057825/10578253337.jpg
NS10612444786	MALL	오뚜기 오뚜기 진라면 순한맛 미니컵 65g x 15입(1box)	식품>가공식품>라면>컵라면	7880	2500	G마켓	https://shopping-phinf.pstatic.net/main_1061244/10612444786.jpg
NS10613045345	MALL	오뚜기 오뚜기 진라면 순한맛 미니컵 65g x 15입(1box)	식품>가공식품>라면>컵라면	7880	2500	옥션	https://shopping-phinf.pstatic.net/main_1061304/10613045345.jpg
NS10619239474	MALL	오뚜기 진라면 순한맛 소컵 65gX6	식품>가공식품>라면>컵라면	2810	2500	11번가	https://shopping-phinf.pstatic.net/main_1061923/10619239474.jpg
NS10630883175	MALL	오뚜기 진라면 순한맛 미니컵 65g x 15입(1box)	식품>가공식품>라면>컵라면	9400	2500	코리아돈키호테	https://shopping-phinf.pstatic.net/main_1063088/10630883175.1.jpg
NS10657782498	MALL	[오뚜기] 005_컵)오뚜기진라면순한맛용기65g	식품>가공식품>라면>컵라면	620	2500	위메프	https://shopping-phinf.pstatic.net/main_1065778/10657782498.jpg
NS10660183817	MALL	컵라면(진라면소컵순한맛)15개	식품>가공식품>라면>컵라면	8300	2500	커피사랑	https://shopping-phinf.pstatic.net/main_1066018/10660183817.1.jpg
NS10673848940	MALL	오뚜기 진라면 소컵 순한맛 65g 15입 1BOX	식품>가공식품>라면>컵라면	8100	2500	오뚜기몰	https://shopping-phinf.pstatic.net/main_1067384/10673848940.1.jpg
NS10702953811	MALL	[원하프]컵멀티)오뚜기 진라면 컵 순한맛 65g * 6개입	식품>가공식품>라면>컵라면	4980	3000	바이폴	https://shopping-phinf.pstatic.net/main_1070295/10702953811.jpg
NS10705773167	MALL	[카드사 7% 할인][신세계몰]오뚜기 [오뚜기] 진라면 순한맛 미니컵 15입(65g x 15개)	식품>가공식품>라면>컵라면	12900	0	G9	https://shopping-phinf.pstatic.net/main_1070577/10705773167.2.jpg
NS10733840918	MALL	오뚜기 진라면컵 순한맛 65g 낱개판매1개	식품>가공식품>라면>컵라면	489	3000	엘마트	https://shopping-phinf.pstatic.net/main_1073384/10733840918.jpg
NS10733840920	MALL	진라면 순한 작은사발 65g 6입 1박스	식품>가공식품>라면>컵라면	4500	3000	엘마트	https://shopping-phinf.pstatic.net/main_1073384/10733840920.jpg
NS10783678957	MALL	[오뚜기] 063_ 오뚜기 진라면 순한맛 소컵	식품>가공식품>라면>컵라면	600	2500	위메프	https://shopping-phinf.pstatic.net/main_1078367/10783678957.jpg
NS10795982417	MALL	[오뚜기] 65_{컵라면} 진라면(순한)소 15컵	식품>가공식품>라면>컵라면	9500	0	위메프	https://shopping-phinf.pstatic.net/main_1079598/10795982417.jpg
NS10795982418	MALL	[오뚜기] 64_{컵라면} 진라면(순한)소 15컵	식품>가공식품>라면>컵라면	8930	0	위메프	https://shopping-phinf.pstatic.net/main_1079598/10795982418.jpg
NS10815034740	MALL	[롯데닷컴]진라면 [오뚜기] 진라면 순한맛 미니컵 15입(65g x 15개)/ 롯데식품관	식품>가공식품>라면>컵라면	10470	0	G9	https://shopping-phinf.pstatic.net/main_1081503/10815034740.3.jpg
NS10834695917	MALL	오뚜기진라면순한맛용기65g 6개 - 인기 컵라면 총 완전집합체!	식품>가공식품>라면>컵라면	3510	2500	티몬	https://shopping-phinf.pstatic.net/main_1083469/10834695917.jpg
NS10860224730	MALL	[오뚜기] 04_{컵라면} 진라면(순한)소 6컵	식품>가공식품>라면>컵라면	3190	2500	위메프	https://shopping-phinf.pstatic.net/main_1086022/10860224730.jpg
NS10866796069	MALL	오뚜기 진라면 소컵 순한맛 65g x15개/신라면/컵라면	식품>가공식품>라면>컵라면	8450	2500	G마켓	https://shopping-phinf.pstatic.net/main_1086679/10866796069.1.jpg
NS10870114244	MALL	[당일발송][슈퍼마트]오뚜기진라면순한맛소컵6입 - 비교할수록 쇼핑은 티몬	식품>가공식품>라면>컵라면	3240	3000	티몬	https://shopping-phinf.pstatic.net/main_1087011/10870114244.1.jpg
NS10885149866	MALL	오뚜기 진라면 소컵 순한맛 65g x1개/신라면/컵라면	식품>가공식품>라면>컵라면	560	2500	G마켓	https://shopping-phinf.pstatic.net/main_1088514/10885149866.1.jpg
NS10898319655	MALL	[오뚜기] 진라면 순한맛 미니컵 (15입)	식품>가공식품>라면>컵라면	11110	0	11번가	https://shopping-phinf.pstatic.net/main_1089831/10898319655.jpg
NS10908734026	MALL	(가공)오뚜기 진라면소컵(순)65g 6입	식품>가공식품>라면>컵라면	3640	2500	11번가	https://shopping-phinf.pstatic.net/main_1090873/10908734026.10.jpg
NS10908738502	MALL	(가공)오뚜기 진라면소컵(순)65g	식품>가공식품>라면>컵라면	620	2500	11번가	https://shopping-phinf.pstatic.net/main_1090873/10908738502.7.jpg
