id	type	name	cat	price	delivery	mall	image
NS13879126247	MALL	진라면 순한맛 멀티5입 x 7개 + 렌지타임 누들 사은품  - [푸드] 라면도 저렴한데 사은품까지!	식품>가공식품>라면>봉지라면	17550	0	티몬	https://shopping-phinf.pstatic.net/main_1387912/13879126247.9.jpg
NS13879775294	MALL	오뚜기 진라면 순한맛 120g X 5개입	식품>가공식품>라면>봉지라면	2380	2500	멸치쇼핑	https://shopping-phinf.pstatic.net/main_1387977/13879775294.jpg
NS13919598654	MALL	오뚜기 오뚜기 진라면 순한맛 120g	식품>가공식품>라면>봉지라면	370	2500	옥션	https://shopping-phinf.pstatic.net/main_1391959/13919598654.6.jpg
NS13919622637	MALL	오뚜기 오뚜기 진라면 순한맛 120g	식품>가공식품>라면>봉지라면	360	2500	G마켓	https://shopping-phinf.pstatic.net/main_1391962/13919622637.4.jpg
NS13944356808	MALL	오뚜기 진라면 순한맛 120g x 5입 (묶음)	식품>가공식품>라면>봉지라면	2300	2500	라인슈퍼도매	https://shopping-phinf.pstatic.net/main_1394435/13944356808.jpg
NS13999595805	MALL	오뚜기 진라면 순한맛 120g x 48개 (한박스)  - [무료배송]진라면 40+8봉	식품>가공식품>라면>봉지라면	21900	0	티몬	https://shopping-phinf.pstatic.net/main_1399959/13999595805.jpg
NS14032823905	MALL	봉지)오뚜기진라면순한맛 5개  - [팔도/삼양/농심]라면 75종 1,340원!! 실화??싸 GET~!!	식품>가공식품>라면>봉지라면	2120	2500	티몬	https://shopping-phinf.pstatic.net/main_1403282/14032823905.7.jpg
NS14033134584	MALL	오뚜기 진라면(순)120g	식품>가공식품>라면>봉지라면	490	2500	인터파크	https://shopping-phinf.pstatic.net/main_1403313/14033134584.jpg
NS14049408003	MALL	오뚜기 진라면 순한맛 / 120gx10개입 / 봉지라면	식품>가공식품>라면>봉지라면	5160	2500	11번가	https://shopping-phinf.pstatic.net/main_1404940/14049408003.1.jpg
NS14055661812	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	2950	2500	더베스트팜	https://shopping-phinf.pstatic.net/main_1405566/14055661812.jpg
