id	type	name	cat	price	delivery	mall	image
NS5716181948	ITEM	오뚜기 오뚜기 진라면 매운맛 미니 컵라면 65g 1개	식품>가공식품>라면>컵라면	420	2500	옥션	https://shopping-phinf.pstatic.net/main_5716181/5716181948.20150128173034.jpg?type=f300
NS10389384684	MALL	[오뚜기] 진라면 종이컵 매운맛 15개	식품>가공식품>라면>컵라면	11300	0	다이소몰	https://shopping-phinf.pstatic.net/main_1038938/10389384684.jpg
NS10389408682	MALL	[오뚜기]진라면종이컵(매) 6입X3개 총18개입	식품>가공식품>라면>컵라면	13400	0	다이소몰	https://shopping-phinf.pstatic.net/main_1038940/10389408682.jpg
NS10389408690	MALL	[오뚜기]진라면종이컵(매) 6입X2개 총12개입	식품>가공식품>라면>컵라면	9400	0	다이소몰	https://shopping-phinf.pstatic.net/main_1038940/10389408690.jpg
NS10389610175	MALL	진라면매운맛(컵)65gx6ea/오뚜기	식품>가공식품>라면>컵라면	4200	2500	다이소몰	https://shopping-phinf.pstatic.net/main_1038961/10389610175.jpg
NS10401447185	MALL	(컵라면) 진라면 소컵x30개 2가지 맛(선택) 믿을 수	식품>가공식품>라면>컵라면	26490	2500	11번가	https://shopping-phinf.pstatic.net/main_1040144/10401447185.jpg
NS10444203791	MALL	오뚜기 진라면 매운맛 미니 컵라면 65g	식품>가공식품>라면>컵라면	510	2500	11번가	https://shopping-phinf.pstatic.net/main_1044420/10444203791.jpg
NS10508590784	MALL	[오뚜기] 01_오뚜기 진라면종이컵(매) 6입X2개 총12개입	식품>가공식품>라면>컵라면	8900	0	위메프	https://shopping-phinf.pstatic.net/main_1050859/10508590784.jpg
NS10547142698	MALL	[오뚜기] 001_B46_오뚜기 진라면 매운맛 소컵 65g	식품>가공식품>라면>컵라면	550	2500	위메프	https://shopping-phinf.pstatic.net/main_1054714/10547142698.jpg
NS10573678499	MALL	[오뚜기] 103_오뚜기진라면매운맛미니컵	식품>가공식품>라면>컵라면	510	2500	위메프	https://shopping-phinf.pstatic.net/main_1057367/10573678499.jpg
NS10578253333	MALL	[오뚜기] 081_B46_오뚜기 진라면 매운맛 소컵 65g	식품>가공식품>라면>컵라면	590	2500	위메프	https://shopping-phinf.pstatic.net/main_1057825/10578253333.jpg
NS10619238533	MALL	오뚜기 진라면 매운맛 소컵 65gX6	식품>가공식품>라면>컵라면	2810	2500	11번가	https://shopping-phinf.pstatic.net/main_1061923/10619238533.jpg
NS10630883203	MALL	오뚜기 진라면 매운맛 미니컵 65g x 15입(1box)	식품>가공식품>라면>컵라면	9400	2500	코리아돈키호테	https://shopping-phinf.pstatic.net/main_1063088/10630883203.1.jpg
NS10638979792	MALL	[정기배송]오뚜기 진라면컵 매운맛 65G*6입*2박스	식품>가공식품>라면>컵라면	8400	2500	롯데슈퍼	https://shopping-phinf.pstatic.net/main_1063897/10638979792.jpg
NS10650208736	MALL	[오뚜기] 167_B46_오뚜기진라면(매)65g X 5	식품>가공식품>라면>컵라면	3700	2500	위메프	https://shopping-phinf.pstatic.net/main_1065020/10650208736.jpg
NS10657782496	MALL	[오뚜기] 004_컵)오뚜기진라면매운맛용기65g	식품>가공식품>라면>컵라면	620	2500	위메프	https://shopping-phinf.pstatic.net/main_1065778/10657782496.jpg
NS10660183815	MALL	컵라면(진라면소컵매운)15개	식품>가공식품>라면>컵라면	8300	2500	커피사랑	https://shopping-phinf.pstatic.net/main_1066018/10660183815.1.jpg
NS10673743339	MALL	오뚜기 진라면 소컵 매운맛 65g 15입 1BOX	식품>가공식품>라면>컵라면	8100	2500	오뚜기몰	https://shopping-phinf.pstatic.net/main_1067374/10673743339.1.jpg
NS10677768643	MALL	[오뚜기] 03_진라면 미니컵(매콤) 6입X2개 총12개	식품>가공식품>라면>컵라면	9800	0	위메프	https://shopping-phinf.pstatic.net/main_1067776/10677768643.jpg
NS10733840919	MALL	오뚜기 진라면컵 매운맛 65g 낱개판매1개	식품>가공식품>라면>컵라면	489	3000	엘마트	https://shopping-phinf.pstatic.net/main_1073384/10733840919.jpg
NS10733840921	MALL	진라면 매운 작은사발 65g 6입 1박스	식품>가공식품>라면>컵라면	4500	3000	엘마트	https://shopping-phinf.pstatic.net/main_1073384/10733840921.jpg
NS10783678955	MALL	[오뚜기] 064_ 오뚜기 진라면 매운맛 소컵	식품>가공식품>라면>컵라면	600	2500	위메프	https://shopping-phinf.pstatic.net/main_1078367/10783678955.jpg
NS10795982411	MALL	[오뚜기] 64_{컵라면} 진라면(매운)소 15컵	식품>가공식품>라면>컵라면	9500	0	위메프	https://shopping-phinf.pstatic.net/main_1079598/10795982411.jpg
NS10795982412	MALL	[오뚜기] 63_{컵라면} 진라면(매운)소 15컵	식품>가공식품>라면>컵라면	8930	0	위메프	https://shopping-phinf.pstatic.net/main_1079598/10795982412.jpg
NS10860224729	MALL	[오뚜기] 03_{컵라면} 진라면(매운)소 6컵	식품>가공식품>라면>컵라면	3190	2500	위메프	https://shopping-phinf.pstatic.net/main_1086022/10860224729.jpg
NS10867854818	MALL	[당일발송][슈퍼마트]오뚜기진라면매운맛소컵6입 - 비교할수록 쇼핑은 티몬	식품>가공식품>라면>컵라면	3210	3000	티몬	https://shopping-phinf.pstatic.net/main_1086785/10867854818.1.jpg
NS10955470786	MALL	오뚜기 진라면 (매운맛/미니) x 6입 65g - BEST★컵라면x6 총 집합	식품>가공식품>라면>컵라면	3600	2500	티몬	https://shopping-phinf.pstatic.net/main_1095547/10955470786.2.jpg
NS10961081442	MALL	오뚜기 진라면 소컵 컵라면 (매운맛/순한맛) 65g x 15개	식품>가공식품>라면>컵라면	6680	2500	ALLBARN	https://shopping-phinf.pstatic.net/main_1096108/10961081442.1.jpg
NS10965149200	MALL	[오뚜기] 07_진라면컵(매콤) 6입×2개 총12개	식품>가공식품>라면>컵라면	9800	0	위메프	https://shopping-phinf.pstatic.net/main_1096514/10965149200.jpg
NS10970383489	MALL	오뚜기 진라면 매운맛 소컵 65g X 6개 컵라면 라면	식품>가공식품>라면>컵라면	4000	2500	11번가	https://shopping-phinf.pstatic.net/main_1097038/10970383489.1.jpg
NS10999744598	MALL	오뚜기 진라면컵 매운맛 65g(1개입)	식품>가공식품>라면>컵라면	550	2500	베스트몰OK	https://shopping-phinf.pstatic.net/main_1099974/10999744598.3.jpg
NS10999746717	MALL	오뚜기 진라면컵 매운맛 65gx6개입	식품>가공식품>라면>컵라면	3300	3000	베스트몰OK	https://shopping-phinf.pstatic.net/main_1099974/10999746717.1.jpg
NS11019134586	MALL	오뚜기 진라면컵(매운맛) x 6개입	식품>가공식품>라면>컵라면	3410	2500	장바구니푸드	https://shopping-phinf.pstatic.net/main_1101913/11019134586.1.jpg
NS11058268262	MALL	오뚜기 진라면 미니컵 매운맛 65G X 15입	식품>가공식품>라면>컵라면	8100	2500	창현물류	https://shopping-phinf.pstatic.net/main_1105826/11058268262.1.jpg
NS11096262613	MALL	오뚜기 진라면매운맛(소컵) 65g 1개 - 라면3분요리식료품골라담자	식품>가공식품>라면>컵라면	680	2500	티몬	https://shopping-phinf.pstatic.net/main_1109626/11096262613.jpg
NS11107553775	MALL	오뚜기 진라면컵 매운맛 65g x6개입/순한맛 컵라면 P	식품>가공식품>라면>컵라면	2450	3000	11번가	https://shopping-phinf.pstatic.net/main_1110755/11107553775.jpg
NS11107717875	MALL	오뚜기 진라면컵 매운맛 65g x6개입 컵라면	식품>가공식품>라면>컵라면	3400	3000	해피클럽	https://shopping-phinf.pstatic.net/main_1110771/11107717875.1.jpg
NS11111410980	MALL	[오뚜기] 02_진라면 매운맛 15개입	식품>가공식품>라면>컵라면	10900	0	위메프	https://shopping-phinf.pstatic.net/main_1111141/11111410980.jpg
NS11135709997	MALL	오뚜기 진라면컵 매운맛 65g x 12개입 컵라면 P	식품>가공식품>라면>컵라면	6940	0	11번가	https://shopping-phinf.pstatic.net/main_1113570/11135709997.jpg
NS11147423791	MALL	[오뚜기] 119_ B46_ 오뚜기진라면(매)65g	식품>가공식품>라면>컵라면	780	2500	위메프	https://shopping-phinf.pstatic.net/main_1114742/11147423791.jpg
NS11155903253	MALL	오뚜기 진라면컵(매운맛)65gX15개입(1박스)	식품>가공식품>라면>컵라면	11050	2500	구판장	https://shopping-phinf.pstatic.net/main_1115590/11155903253.jpg
NS11161183927	MALL	오뚜기 진라면컵(매운맛)65gX15개입(1박스)	식품>가공식품>라면>컵라면	11150	2500	팡샵	https://shopping-phinf.pstatic.net/main_1116118/11161183927.jpg
NS11164851705	MALL	오뚜기 오뚜기 진라면컵 매운맛 65g x 18개입  컵라면 P	식품>가공식품>라면>컵라면	10700	0	옥션	https://shopping-phinf.pstatic.net/main_1116485/11164851705.jpg
NS11164905104	MALL	오뚜기 오뚜기 진라면컵 매운맛 65g x 18개입  컵라면 P	식품>가공식품>라면>컵라면	9570	0	G마켓	https://shopping-phinf.pstatic.net/main_1116490/11164905104.jpg
NS11165100598	MALL	오뚜기 진라면컵 매운맛 65g x 18개입 컵라면 P	식품>가공식품>라면>컵라면	9580	0	11번가	https://shopping-phinf.pstatic.net/main_1116510/11165100598.1.jpg
NS11210764878	MALL	B/오뚜기 진라면 매운맛 65g -6개/미니컵라면	식품>가공식품>라면>컵라면	4830	2500	NH마켓	https://shopping-phinf.pstatic.net/main_1121076/11210764878.jpg
NS11210767317	MALL	B/오뚜기 진라면컵 매운맛 65g -15개/미니컵라면	식품>가공식품>라면>컵라면	12040	2500	NH마켓	https://shopping-phinf.pstatic.net/main_1121076/11210767317.jpg
NS11212624560	MALL	국민 간편식품 오뚜기 진라면컵 (매운맛) 65g x 15개 (1박스)	식품>가공식품>라면>컵라면	12160	2500	리플라이샵	https://shopping-phinf.pstatic.net/main_1121262/11212624560.1.jpg
NS11218206167	MALL	[오뚜기] 01.진라면 매운맛 작은컵 1개	식품>가공식품>라면>컵라면	500	2500	위메프	https://shopping-phinf.pstatic.net/main_1121820/11218206167.jpg
NS11230917506	MALL	오뚜기 진라면(컵) 매운맛 65G*6입	식품>가공식품>라면>컵라면	3900	2000	GSfresh	https://shopping-phinf.pstatic.net/main_1123091/11230917506.jpg
NS11235818813	MALL	[당일발송]컵)오뚜기진라면매운맛용기65g 6개 - ★인기 컵라면 총집합★	식품>가공식품>라면>컵라면	3510	2500	티몬	https://shopping-phinf.pstatic.net/main_1123581/11235818813.jpg
NS11236947925	MALL	오뚜기 진라면 컵라면 매운맛 65g x 6ea (소컵) (1박스)	식품>가공식품>라면>컵라면	3500	2500	디에스몰	https://shopping-phinf.pstatic.net/main_1123694/11236947925.1.jpg
NS11260302376	MALL	[오뚜기] 01.진라면 매운맛 작은컵 30개	식품>가공식품>라면>컵라면	18900	0	위메프	https://shopping-phinf.pstatic.net/main_1126030/11260302376.jpg
NS11352792798	MALL	오뚜기 컵라면 진라면 매운맛 소컵 65g	식품>가공식품>라면>컵라면	440	2500	11번가	https://shopping-phinf.pstatic.net/main_1135279/11352792798.jpg
NS11371797414	MALL	[오뚜기] 21_B47_오뚜기진라면(매)65g6입	식품>가공식품>라면>컵라면	4780	2500	위메프	https://shopping-phinf.pstatic.net/main_1137179/11371797414.jpg
NS11385515866	MALL	오뚜기 진라면컵 매운맛 65g	식품>가공식품>라면>컵라면	450	2500	리빙구네	https://shopping-phinf.pstatic.net/main_1138551/11385515866.1.jpg
NS11439025965	MALL	오뚜기 진라면컵(매운맛)65gX15개입(1박스)	식품>가공식품>라면>컵라면	12070	2500	필굿스토어	https://shopping-phinf.pstatic.net/main_1143902/11439025965.1.jpg
NS11479131443	MALL	오뚜기 진라면 매운맛 65g 컵라면	식품>가공식품>라면>컵라면	590	2500	킹스랜드	https://shopping-phinf.pstatic.net/main_1147913/11479131443.1.jpg
NS11479699550	MALL	오뚜기 진라면 cup매운맛(종이컵) 65g*15입 1box	식품>가공식품>라면>컵라면	9900	0	G9	https://shopping-phinf.pstatic.net/main_1147969/11479699550.2.jpg
NS11543642679	MALL	오뚜기 진라면 Cup매운맛 (종이컵) 65g(15입) 1box	식품>가공식품>라면>컵라면	9900	0	인터파크	https://shopping-phinf.pstatic.net/main_1154364/11543642679.jpg
NS11585166419	MALL	오뚜기 진라면 Cup매운맛 (종이컵) 65g(15입) 1box	식품>가공식품>라면>컵라면	9770	0	GSSHOP	https://shopping-phinf.pstatic.net/main_1158516/11585166419.jpg
NS11690140496	MALL	[오뚜기] 04_B46_오뚜기진라면(매)65g	식품>가공식품>라면>컵라면	730	2500	위메프	https://shopping-phinf.pstatic.net/main_1169014/11690140496.jpg
NS11690141033	MALL	[오뚜기] 31_B47_오뚜기진라면(매)65g6입	식품>가공식품>라면>컵라면	4250	2500	위메프	https://shopping-phinf.pstatic.net/main_1169014/11690141033.jpg
NS11691233359	MALL	현대식품관 진라면컵 매운맛 65g6 405198	식품>가공식품>라면>컵라면	3680	3000	CJmall	https://shopping-phinf.pstatic.net/main_1169123/11691233359.jpg
